iter	Passed	Remaining
0	2	224
1	4	213
2	6	225
3	8	212
4	11	211
5	13	206
6	17	225
7	18	215
8	20	208
9	22	201
10	24	199
11	26	194
12	28	188
13	30	189
14	33	189
15	35	185
16	37	182
17	39	180
18	41	175
19	42	171
20	49	185
21	51	181
22	53	178
23	55	174
24	57	171
25	59	170
26	62	170
27	64	166
28	66	163
29	68	159
30	70	158
31	72	154
32	74	151
33	76	147
34	79	146
35	80	143
36	81	139
37	84	137
38	86	134
39	88	133
40	92	133
41	93	129
42	95	126
43	97	124
44	99	121
45	100	118
46	103	116
47	104	113
48	106	110
49	108	108
50	109	105
51	111	102
52	113	100
53	114	97
54	116	94
55	118	92
56	120	90
57	122	88
58	124	86
59	126	84
60	128	81
61	130	79
62	132	77
63	134	75
64	137	74
65	139	71
66	140	69
67	142	66
68	143	64
69	145	62
70	147	60
71	149	58
72	151	56
73	153	53
74	154	51
75	156	49
76	158	47
77	159	45
78	161	42
79	163	40
80	165	38
81	167	36
82	169	34
83	171	32
84	172	30
85	174	28
86	177	26
87	179	24
88	181	22
89	183	20
90	185	18
91	186	16
92	188	14
93	189	12
94	192	10
95	195	8
96	197	6
97	199	4
98	201	2
99	203	0
