iter	Passed	Remaining
0	134	134442
1	136	68120
2	140	46575
3	141	35324
4	143	28620
5	145	24103
6	147	20876
7	148	18415
8	150	16522
9	153	15168
10	154	13913
11	156	12847
12	157	11950
13	158	11196
14	160	10541
15	161	9956
16	163	9468
17	165	9022
18	167	8632
19	168	8263
20	170	7962
21	172	7685
22	174	7409
23	176	7171
24	177	6941
25	181	6808
26	183	6615
27	185	6449
28	187	6268
29	188	6095
30	190	5944
31	191	5797
32	194	5685
33	196	5577
34	197	5454
35	199	5351
36	201	5241
37	202	5138
38	204	5041
39	206	4949
40	208	4887
41	210	4803
42	212	4720
43	213	4643
44	215	4567
45	216	4495
46	218	4432
47	220	4366
48	223	4330
49	224	4269
50	226	4207
51	227	4153
52	229	4095
53	230	4039
54	231	3985
55	233	3934
56	234	3882
57	237	3852
58	239	3812
59	240	3766
60	241	3723
61	243	3683
62	245	3644
63	246	3606
64	248	3568
65	251	3554
66	252	3523
67	254	3485
68	255	3452
69	258	3429
70	259	3397
71	261	3365
72	262	3334
73	264	3313
74	266	3290
75	268	3265
76	270	3239
77	271	3213
78	273	3187
79	274	3158
80	276	3132
81	277	3105
82	278	3073
83	280	3063
84	282	3037
85	283	3014
86	284	2988
87	285	2962
88	287	2940
89	288	2917
90	289	2893
91	290	2870
92	291	2847
93	293	2828
94	294	2809
95	296	2787
96	297	2767
97	298	2746
98	299	2725
99	300	2705
100	301	2685
101	302	2666
102	303	2646
103	305	2628
104	306	2609
105	308	2604
106	310	2588
107	311	2571
108	313	2565
109	315	2548
110	316	2532
111	317	2518
112	318	2502
113	319	2486
114	321	2471
115	323	2461
116	324	2448
117	325	2434
118	326	2419
119	327	2404
120	329	2390
121	330	2375
122	331	2361
123	332	2348
124	333	2335
125	334	2321
126	335	2307
127	337	2300
128	339	2291
129	340	2278
130	341	2264
131	342	2252
132	343	2239
133	344	2227
134	345	2216
135	347	2205
136	348	2193
137	349	2182
138	350	2170
139	352	2165
140	353	2155
141	354	2141
142	355	2130
143	356	2120
144	357	2110
145	359	2100
146	360	2090
147	361	2080
148	362	2071
149	363	2061
150	364	2051
151	366	2045
152	368	2037
153	369	2029
154	370	2022
155	372	2014
156	373	2005
157	374	1996
158	376	1989
159	377	1981
160	378	1970
161	381	1971
162	383	1966
163	384	1961
164	386	1955
165	387	1948
166	389	1941
167	390	1934
168	396	1950
169	399	1949
170	401	1945
171	403	1940
172	404	1934
173	407	1932
174	408	1926
175	410	1922
176	412	1916
177	413	1910
178	414	1903
179	416	1896
180	417	1889
181	419	1883
182	420	1878
183	423	1877
184	424	1872
185	426	1866
186	428	1861
187	429	1855
188	431	1850
189	432	1844
190	434	1839
191	435	1834
192	438	1833
193	440	1828
194	442	1824
195	443	1819
196	444	1813
197	446	1808
198	448	1803
199	449	1797
200	450	1792
201	454	1795
202	456	1791
203	458	1788
204	459	1782
205	460	1776
206	462	1770
207	463	1764
208	465	1759
209	468	1761
210	469	1756
211	471	1752
212	472	1747
213	474	1742
214	476	1738
215	477	1734
216	479	1730
217	482	1731
218	484	1726
219	485	1721
220	487	1716
221	488	1711
222	489	1706
223	491	1702
224	492	1696
225	494	1692
226	497	1693
227	498	1688
228	499	1682
229	500	1676
230	501	1670
231	502	1664
232	503	1658
233	504	1652
234	506	1647
235	507	1642
236	508	1637
237	511	1637
238	512	1632
239	514	1627
240	515	1622
241	516	1618
242	517	1613
243	518	1607
244	520	1602
245	521	1598
246	522	1593
247	523	1588
248	526	1587
249	527	1582
250	528	1578
251	530	1573
252	531	1569
253	532	1563
254	533	1558
255	535	1555
256	536	1550
257	537	1545
258	538	1541
259	540	1537
260	541	1534
261	543	1529
262	544	1525
263	545	1520
264	546	1515
265	547	1511
266	548	1506
267	549	1501
268	550	1497
269	552	1493
270	555	1493
271	556	1489
272	557	1485
273	558	1481
274	560	1476
275	561	1471
276	562	1467
277	563	1463
278	564	1458
279	565	1454
280	566	1449
281	568	1447
282	569	1443
283	570	1439
284	572	1435
285	573	1431
286	574	1426
287	575	1422
288	576	1418
289	577	1414
290	578	1409
291	579	1405
292	580	1401
293	582	1399
294	584	1396
295	585	1392
296	586	1389
297	588	1385
298	589	1381
299	590	1377
300	591	1373
301	592	1369
302	593	1365
303	594	1362
304	596	1358
305	597	1355
306	598	1352
307	600	1348
308	601	1344
309	602	1340
310	603	1336
311	604	1333
312	605	1329
313	606	1325
314	608	1322
315	609	1318
316	610	1315
317	612	1313
318	613	1309
319	614	1306
320	616	1303
321	617	1300
322	618	1296
323	619	1292
324	620	1288
325	621	1285
326	622	1281
327	623	1278
328	625	1275
329	626	1272
330	628	1269
331	629	1265
332	630	1262
333	631	1259
334	632	1255
335	633	1252
336	634	1249
337	636	1245
338	637	1242
339	638	1239
340	639	1236
341	641	1233
342	642	1230
343	644	1228
344	645	1225
345	647	1223
346	648	1219
347	649	1216
348	650	1213
349	651	1210
350	652	1206
351	654	1204
352	655	1201
353	656	1198
354	658	1195
355	659	1192
356	660	1189
357	661	1186
358	662	1183
359	663	1180
360	665	1177
361	666	1174
362	667	1171
363	669	1169
364	670	1167
365	671	1163
366	672	1160
